IPHONES AS / EL MEJOR PRECIO EN UN SOLO LUGAR,,,,,,,,,,"COTIZACION 
DOLAR",1580,,STOCK,OCULTAR
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,EQUIPOS AL 100% consultar batería cambiada ,,,,
,,,,,,,,,,,,,,
SELECCION USADOS ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MODELO,GB,BATERIA,COLOR,,DOLARES,PESOS,6 CUOTAS ,12 CUOTAS,DETALLE,,,,,
14 pro max,128,92 94,lila blanco,,$570,$900.600,"$235.657,00","$143.345,50",,,,,,
,,,,,,,,,,,,,,
15,128,85,rosa,,$455,$718.900,"$188.112,17","$114.424,92",,,,,,
15,128,86 87 88,rosa negro azul,,$460,$726.800,"$190.179,33","$115.682,33",,,,,,
15,128,89 90,celeste negro,,$480,$758.400,"$198.448,00","$120.712,00",,,,,,
15,128,91 93,celeste,,$485,$766.300,"$200.515,17","$121.969,42",,,,,,
15,128,100,rosa celste,,$495,$782.100,"$204.649,50","$124.484,25",,,,,,
15,256,100,rosa,,$530,$837.400,"$219.119,67","$133.286,17",,,,,,
15 pro,128,84 85,negro azul,,$615,$971.700,"$254.261,50","$154.662,25",,,,,,
15 pro,128,86 87 88,negro,,$620,$979.600,"$256.328,67","$155.919,67",,,,,,
15 pro,128,100,azul negro,,$640,$1.011.200,"$264.597,33","$160.949,33",,,,,,
15 pro max,256,81 83,natural,,$680,$1.074.400,"$281.134,67","$171.008,67",,,,,,
15 pro max,256,100,azul blanco natural,,$740,$1.169.200,"$305.940,67","$186.097,67",,,,,,
15 pro max,1tb,85,natural,,$740,$1.169.200,"$305.940,67","$186.097,67",,,,,,
,,,,,,,,,,,,,,
16 pro,128,87,natural,,$750,$1.185.000,"$310.075,00","$188.612,50",,,,,,
16 pro,128,88 89,desert blanco natural,,$760,$1.200.800,"$314.209,33","$191.127,33",,,,,,
16 pro,128,90,desert,,$770,$1.216.600,"$318.343,67","$193.642,17",,,,,,
16 pro,256,89,desert,,$780,$1.232.400,"$322.478,00","$196.157,00",,,,,,
16 pro max,256,90,natural,,$920,$1.453.600,"$380.358,67","$231.364,67",,,,,,
16 pro max,256,92 93,natural desert,,$930,$1.469.400,"$384.493,00","$233.879,50",,,,,,
16 pro max,256,94,desert,,$940,$1.485.200,"$388.627,33","$236.394,33",,,,,,
16 pro max,256,97,negro,,$955,$1.508.900,"$394.828,83","$240.166,58",,,,,,
,,,,,,,,,,,,,,
17,256,99,negro,,$850,$1.343.000,"$351.418,33","$213.760,83",,,,,,
17,256,100,todos,,$870,$1.374.600,"$359.687,00","$218.790,50",nuevo sin caja,,,,,
17 pro,256,100,silver orange,,$1.150,$1.817.000,"$475.448,33","$289.205,83",nuevo sin caja,,,,,
17 pro max,256,100,silver blue,,$1.240,$1.959.200,"$512.657,33","$311.839,33",,,,,,
,,,,,,,,,,,,,,
galasy s23 fe,128,,verde,,$200,$316.000,"$82.686,67","$50.296,67",,,,,,
SERIE 10,46MM,98,black,,$300,$474.000,"$124.030,00","$75.445,00",SEMI NUEVOS,,,,,
se2,44mm,93,star,,$160,$252.800,"$66.149,33","$40.237,33",SEMI NUEVOS,,,,,
jostick ps5 usados,,,blancos,,$45,$71.100,"$18.604,50","$11.316,75",,,,,,
,,,,,,,,,,,,,,
IPHONES NUEVOS SELLADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MODELO,GB,,DOLARES,,PESOS,COLOR,6 CUOTAS ,12 CUOTAS,,,,,,
13,128,,$520,,$821.600,CONSULTAR,"$214.985,33","$130.771,33",,,,,,
14,128,,$610,,$963.800,CONSULTAR,"$252.194,33","$153.404,83",,,,,,
14 PLUS,128,,$660,,$1.042.800,CONSULTAR,"$272.866,00","$165.979,00",,,,,,
15,128,,$710,,$1.121.800,CONSULTAR,"$293.537,67","$178.553,17",,,,,,
,,,,,,,,,,,,,,
16E,128,,$600,,$948.000,CONSULTAR,"$248.060,00","$150.890,00",,,,,,
16,128,,$820,,$1.295.600,CONSULTAR,"$339.015,33","$206.216,33",,,,,,
16 pro max,256,,$1.170,,$1.848.600,CONSULTAR,"$483.717,00",,,,,,,
,,,,,,,,,,,,,,
17,256,,$980,,$1.548.400,CONSULTAR,"$405.164,67","$246.453,67",,,,,,
17,512,,$1.060,,$1.674.800,CONSULTAR,"$438.239,33","$266.572,33",,,,,,
17 air,256,,$990,,$1.564.200,CONSULTAR,"$409.299,00","$248.968,50",,,,,,
17 e,256,,$750,,$1.185.000,CONSULTAR,"$310.075,00","$188.612,50",,,,,,
17 pro orange,256,,$1.175,,$1.856.500,CONSULTAR,"$485.784,17","$295.492,92",,,,,,
17 pro blue,256,,$1.210,,$1.911.800,CONSULTAR,"$500.254,33","$304.294,83",,,,,,
17 pro silver ,256,,$1.210,,$1.911.800,CONSULTAR,"$500.254,33","$304.294,83",,,,,,
17 pro,512,,$1.450,,$2.291.000,CONSULTAR,"$599.478,33","$364.650,83",,,,,,
17 pro,1tb,,$1.750,,,,,,,,,,,
17 pro max orange,256,,$1.270,,$2.006.600,CONSULTAR,"$525.060,33","$319.383,83",,,,,,
17 pro max blue,256,,$1.280,,$2.022.400,CONSULTAR,"$529.194,67","$321.898,67",,,,,,
17 pro max silver ,256,,$1.290,,$2.038.200,CONSULTAR,"$533.329,00","$324.413,50",,,,,,
17 pro max ,512,,$1.540,,$2.433.200,CONSULTAR,"$636.687,33","$387.284,33",,,,,,
17 pro max,1TB,,$1.750,,$2.765.000,CONSULTAR,"$723.508,33","$440.095,83",,,,,,
17 pro max,2TB,,$2.150,,$3.397.000,CONSULTAR,"$888.881,67","$540.689,17",,,,,,
,,,,,,,,,,,,,,
MACBOOK,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MODELO,,,DOLARES,,PESOS,COLOR,6 CUOTAS ,12 CUOTAS,,,,,,
Macbook NEO 13' 8/256gb,,,$840,,$1.327.200,CONSULTAR,"$347.284,00","$211.246,00",,,,,,
Macbook NEO 13' 8/256gb Citrus,,,$830,,$1.311.400,CONSULTAR,"$343.149,67","$208.731,17",,,,,,
Macbook NEO 13' 8/512gb,,,$940,,$1.485.200,CONSULTAR,"$388.627,33","$236.394,33",,,,,,
,,,,,,,,,,,,,,
"MACBOOK AIR 13"" M4 16GB 256GB",,,$1.250,,$1.975.000,CONSULTAR,"$516.791,67","$314.354,17",,,,,,
,,,,,,,,,,,,,,
"MACBOOK AIR  13,6 M5 16/ 512GB ",,,$1.350,,$2.133.000,CONSULTAR,"$558.135,00","$339.502,50",,,,,,
"MACBOOK AIR  13,6 M5 16/ 1TB",,,$1.570,,$2.480.600,CONSULTAR,"$649.090,33","$394.828,83",,,,,,
"MACBOOK AIR  13,6 M5 24/ 1TB ",,,$2.030,,$3.207.400,CONSULTAR,"$839.269,67","$510.511,17",,,,,,
,,,,,,,,,,,,,,
"MACBOOK AIR  15,3 M5 16/ 512",,,$1.545,,$2.441.100,CONSULTAR,"$638.754,50","$388.541,75",,,,,,
"MACBOOK AIR  15,3 M5 16/ 1TB",,,$1.990,,$3.144.200,CONSULTAR,"$822.732,33","$500.451,83",,,,,,
"MACBOOK AIR  15,3 M5 24/ 1TB",,,$2.230,,$3.523.400,CONSULTAR,"$921.956,33","$560.807,83",,,,,,
,,,,,,,,,,,,,,
"MACBOOK PRO M5 14"" 512GB 10/10 GPU/CPU 16RAM",,,$2.030,,$3.207.400,CONSULTAR,"$839.269,67","$510.511,17",,,,,,
"MACBOOK PRO M5 14"" 1TB 10/10 GPU/CPU 16RAM",,,$2.200,,$3.476.000,CONSULTAR,"$909.553,33","$553.263,33",,,,,,
"MACBOOK PRO M5 14"" 1TB 10/10 GPU/CPU 24RAM",,,$2.480,,$3.918.400,CONSULTAR,"$1.025.314,67","$623.678,67",,,,,,
